,Number,Name_of_Covered_Entity,Region,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,year
235,236,The Mount Sinai Hospital,Sengkang,712,2011-07-06 00:00:00,Theft,Laptop,2014-06-02,"Two unencrypted laptop computers containing the electronic protected health information (ePHI) of 712 individuals were stolen from the covered entity's (CE) office.  The ePHI included names, dates of birth, social security numbers, diagnostic reports, and demographic information.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE improved physical security by installing an exit alarm lock and surveillance camera, and implementing a policy and procedure requiring managers to monitor inappropriate use of the facility's rear exit.  The CE also inventoried its ePHI systems and adopted and implemented policies and procedures for workstation security, encryption, security awareness and training, electronic devices, and media controls.",2011-06-07,2011
236,237,Troy Regional Medical Center,Clementi,880,3/22/2011,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-03-22,2011
237,238,Lansing Community College,Newton,5000,2011-09-05 00:00:00,Hacking/IT Incident,Network Server,2014-03-24,,2011-05-09,2011
238,239,Dr Axel Velez,Ang Mo Kio,2800,6/19/2011,Theft,Desktop Computer,2014-03-13,,2011-06-19,2011
239,240," DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",Eunos,7500,2010-11-07 00:00:00,Theft,Paper,2014-01-23,,2010-07-11,2010
240,241,Beth Israel Deaconess Medical Center,Paya Lebar,2021,4/17/2011,Hacking/IT Incident,Network Server,2014-01-23,,2011-04-17,2011
241,242,"Gypsum Management and Supply, Inc. Medical and Dental Plan",Eunos,25330,2011-09-05 00:00:00,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2011-05-09,2011
242,243,"Andersen Air Force Base, Guam",Marine Parade,700,5/13/2011,Improper Disposal,Paper,2014-01-23,,2011-05-13,2011
243,244,Molina Medicare,Yio Chu Kang,4573,2011-01-01 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-01-01,2011
244,245,Windsor Health Plan,Bishan,1378,2011-01-03 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-03-01,2011
245,246,Health Care Service Corporation,Boon Lay,501,6/28/2011,Theft,Paper,2014-01-23,,2011-06-28,2011
246,247,University of Kentucky - UK HealthCare,Kembangan,3604,2011-07-06 00:00:00,Theft,Laptop,2014-04-23,,2011-06-07,2011
247,248,"Austin Center for Therapy and Assessment, LLC",Yishun,1870,2011-08-07 00:00:00,Theft,Laptop,2014-04-24,"An unencrypted laptop, containing the electronic protected health information (ePHI) of 1,870 individuals, was stolen from the covered entity's (CE) office.  The ePHI involved includes clinical evaluation reports, test results, patient names, addresses, phone numbers, and social security numbers.  Upon discovery of the breach, the CE notified affected individuals, OCR and the media.  Following OCR's investigation, the CE revised its HIPAA policies and procedures, implemented additional physical safeguards in its facility and installed encryption software.",2011-07-08,2011
248,249,Treatment Services Northwest,Boon Keng,1200,2011-08-07 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-07-08,2011
249,250,Mills-Peninsula Health Services,Yio Chu Kang,1500,2009-01-11 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2009-11-01,2009
250,251,Brigham and Women's Hospital and Faulkner Hospital ,Paya Lebar,638,6/21/2011,Theft,Other Portable Electronic Device,2014-06-30,"A covered entity's (CE) workforce member lost an external hard drive containing the electronic protected health information (ePHI) of 638 individuals while traveling.  The external hard drive included names, medical record numbers, dates of admission, medications, diagnoses, and treatment information.  The CE notified HHS, the media, and all individuals affected regarding the breach and provided individuals with identity protection services.  Following the breach, the CE sanctioned the workforce member involved and retrained the workforce member and division staff on  safeguards for ePHI.  In addition, the CE established a mitigation workgroup to review policies and procedures regarding the protection of ePHI and created a new external hard drive encryption policy.  OCR obtained assurances that the CE  implemented the corrective action listed above.",2011-06-21,2011
251,252,"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ",Novena,506,2011-09-05 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2011-05-09,2011
252,253,St. Francis Hospital,Marsiling,948,2011-01-06 00:00:00,Loss,"Other Portable Electronic Device, Other",2014-06-10,,2011-06-01,2011
253,254,"Reznick Group, P.C.",Tanglin,2459,2011-09-05 00:00:00,Hacking/IT Incident,Network Server,2014-03-25,,2011-05-09,2011
254,255,The Neurological Institute of Savannah & Center for Spine,Eunos,63425,2011-02-07 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-07-02,2011
255,256,Texas Health Presbtyerian Hospital Flower Mound,Yishun,10345,6/21/2011,Theft,Laptop,2014-01-23,,2011-06-21,2011
256,257,Capron Rescue Squad District,Boon Lay,815,2011-05-02 00:00:00,Unauthorized Access/Disclosure,Laptop,2014-01-23,,2011-02-05,2011
257,258,Cook County Health & Hospitals System,Boon Lay,32008,6/24/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-06-24,2011
258,259,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",Boon Lay,2000,2011-01-07 00:00:00,Theft,"Desktop Computer, Network Server",2014-01-23,,2011-07-01,2011
259,260,Stanford Hospital & Clinics,Yio Chu Kang,19651,2010-09-09 00:00:00,Unauthorized Access/Disclosure,Other,2014-01-23,,2010-09-09,2010
260,261,"Muir Orthopaedic Specialists, A Medical Group Inc.",Yio Chu Kang,1800,7/27/2011,Theft,Paper,2014-01-23,,2011-07-27,2011
261,262,NEA Baptist Clinic,Bouna Vista,3116,2011-12-07 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2011-07-12,2011
262,263,Jonathan Noel MD,Novena,2059,7/13/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-07-13,2011
263,264,Centro de Ortodoncia Inc.,Ang Mo Kio,2000,2010-06-05 00:00:00,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), Dr. Pedro Valentin, after it reported boxes containing the protected health information (PHI) of 2,000 individuals were moved from the CE's office.  The PHI included names, account numbers, responsible party in charge of account, and method of payment.  OCR's investigation revealed that the individual who removed the PHI was the CE's wife and business partner.  The CE advised OCR that he knew his wife/partner was removing the boxes for the purpose of ascertaining the amount of monies the CE was receiving and that he is in the process of dissolving the partnership.  OCR concluded that the actions alleged in the breach report did not amount to a breach.",2010-05-06,2010
264,265,"John T. Melvin, M.D.& Associates",Yishun,2541,2011-09-08 00:00:00,Theft,Paper,2014-03-13,,2011-08-09,2011
265,266,"Diversified Resources, Inc.",Eunos,863,2011-11-08 00:00:00,Theft,Laptop,2014-01-23,,2011-08-11,2011
266,267,"Bonney Lake Medical Center and Mythili R. Ramachandran, MD",Punggol,2367,2011-12-08 00:00:00,Theft,"Laptop, Desktop Computer",2014-02-14,,2011-08-12,2011
267,268,United States Steel Corporation Plan for Active Employee Insurance Benefits and the United States Steel Corporation Plan for Retiree Insurance Benefits,Serangoon,4000,8/15/2011,Loss,"Other Portable Electronic Device, Other",2014-03-24,,2011-08-15,2011
268,269,VA Illiana Health Care System,Boon Lay,518,7/14/2011,Loss,Paper,2014-01-23,,2011-07-14,2011
269,270,Health Texas Provider Network,Yishun,1259,7/27/2011,Theft,Laptop,2014-03-13,,2011-07-27,2011
270,271,Blue Cross of Northeastern Pennsylvania,Serangoon,507,2011-09-09 00:00:00,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-03-24,,2011-09-09,2011
271,272,NYU Hospital for Joint Diseases Inventory Management Department,Sengkang,2600,6/23/2011,Theft,Paper,2014-06-20,"A box containing 2,600 paper records of tissue implants used in surgeries was discarded by a waste disposal contractor of the covered entity (CE), NYU Hospital for Joint Diseases Inventory Management Department, when the box was not property secured.  The box contained the protected health information (PHI) of 2,239 individuals and included names, dates of birth, dates of surgery, surgeon names, procedures, and types and serial numbers of the tissues used in the surgeries.  Upon discovery of the breach, the CE contacted the waste disposal contractor and determined that the documents were discarded and buried in a landfill out of state.  The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  As a result of OCR's investigation, the CE improved safeguards by storing all tissue records in a locked cabinet and requiring management to store the keys.  In addition, the CE counseled the employees involved in the incident and retrained all staff on its policies and procedures for safeguarding PHI.  The CE also implemented a plan to conduct reviews of HIPAA compliance, including both physical access and physical security risks.",2011-06-23,2011
272,273,WAYNE HIGHLANDS SCHOOL DISTRICT,Serangoon,579,2011-09-09 00:00:00,"Theft, Unauthorized Access/Disclosure",Paper,2014-06-10,,2011-09-09,2011
273,274,"Summit Medical Group, PLLC",Bishan,731,2011-04-09 00:00:00,Theft,Paper,2014-01-23,,2011-09-04,2011
274,275,MAPFRE Life,Ang Mo Kio,2209,2011-05-08 00:00:00,Theft,Other,2014-03-13,,2011-08-05,2011
275,276,American Continental Insurance Company,Bishan,690,7/28/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-07-28,2011
276,277,United of Omaha Life Insurance Company,Bukit Batok,1631,7/28/2011,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2011-07-28,2011
277,278,Mutual of Omaha Insurance Company,Bukit Batok,705,7/28/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-07-28,2011
278,279,Henry Ford Health System,Newton,520,2011-08-08 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-08-08,2011
279,280,Indiana University,Novena,3266,8/16/2011,Theft,Laptop,2014-01-23,,2011-08-16,2011
280,281,"Adult & Pediatric Dermatology, PC",Paya Lebar,2200,9/14/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-09-14,2011
281,282,The Nemours Foundation,Sembawang,1055489,2011-10-08 00:00:00,Loss,Other,2014-01-23,,2011-08-10,2011
282,283,"California Industrial Medicine, Inc.",Yio Chu Kang,700,9/28/2011,"Theft, Unauthorized Access/Disclosure",Paper,2014-02-14,,2011-09-28,2011
283,284,"InStep Foot Clinic, P.A.",Chai Chee,2600,8/28/2011,Theft,"Laptop, Electronic Medical Record",2014-01-23,,2011-08-28,2011
284,285,North Memorial,Chai Chee,6697,7/25/2011,Theft,Laptop,2014-01-23,,2011-07-25,2011
285,286,"Lahey Clinic Hospital, Inc.",Paya Lebar,599,2011-12-08 00:00:00,Theft,Laptop,2014-03-13,,2011-08-12,2011
286,287,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,3994,7/28/2011,Theft,Other,2014-01-23,,2011-07-28,2011
287,288,Good Samaritan Hospital,Tanglin,1500,2011-09-09 00:00:00,Theft,Paper,2014-01-23,,2011-09-09,2011
288,289,"Amerigroup Community Care of New Mexico, Inc",Choa Chu Kang,1537,7/15/2011,Theft,Paper,2014-01-23,,2011-07-15,2011
289,290,Florida Hospital,Sembawang,12784,2011-10-08 00:00:00,Unauthorized Access/Disclosure,Electronic Medical Record,2014-02-19,,2011-08-10,2011
290,291,"Thomas Jefferson University Hospitals, Inc.",Serangoon,3150,2011-06-09 00:00:00,Theft,Other,2014-01-23,,2011-09-06,2011
291,292,Lankenau Medical Center,Serangoon,500,2011-06-09 00:00:00,Theft,Other,2014-01-23,,2011-09-06,2011
292,293,"Spectrum Health Ssytems, Inc.  ",Paya Lebar,14750,8/24/2011,Theft,Desktop Computer,2014-03-13,,2011-08-24,2011
293,294,Conway Regional Medical Center,Bouna Vista,1472,8/24/2011,Loss,Other,2014-01-23,,2011-08-24,2011
294,295,Concordia Plan Services,Queenstown,7059,2011-10-05 00:00:00,Loss,Other,2014-01-23,,2011-05-10,2011
295,296,Stone Oak Urgent Care & Family Practice,Yishun,6672,10/23/2011,"Theft, Loss",Desktop Computer,2014-01-23,,2011-10-23,2011
296,297,Indiana University School of Optometry,Novena,757,2011-12-08 00:00:00,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2011-08-12,2011
297,298,"Brevard Emergency Services, P.A.",Sembawang,2200,8/26/2011,Theft,Paper,2014-04-23,,2011-08-26,2011
298,299,Georgetown University Hospital,Tampines,1526,2011-09-09 00:00:00,Loss,"Other Portable Electronic Device, Other",2014-03-24,,2011-09-09,2011
299,300,Morris Heights Health Center,Sengkang,927,8/27/2011,Theft,Laptop,2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 927 individuals was stolen from the covered entity's (CE) school based health center.  The ePHI included names, dates of birth, sex, ethnicities, height, weight, body mass index data, complete physical examination information such as asthma and obesity information, health action plans, and enrollment dates.  Upon discovery of the breach, the CE filed a police report to recover the stolen laptop.  As a result of OCR's investigation, the CE purchased locks to physically secure its' school health computers to the desks where the computers are located.  In addition, the CE encrypted all portable devices' hard drives and installed software to track portable devices. The CE also retrained all staff on its policies and procedures for using and securing ePHI. ",2011-08-27,2011
300,301,network180,Newton,1100,9/16/2011,Theft,Paper,2014-03-24,,2011-09-16,2011
301,302,"Bethesda Hospital, Inc.",Jurong East,946,2011-03-09 00:00:00,Theft,Desktop Computer,2014-03-24,,2011-09-03,2011
302,303,"Julie A. Kennedy, D.M.D., P.A.",Sembawang,2900,9/30/2011,Theft,Network Server,2014-01-23,,2011-09-30,2011
303,304,"KCI USA, Inc.",Yishun,567,2011-08-09 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-09-08,2011
304,305,Lebanon Internal Medicine Associates,Serangoon,55000,2011-10-09 00:00:00,Improper Disposal,Network Server,2014-01-23,,2011-09-10,2011
305,306,St. Joseph Medical Center,Tanglin,5000,2011-11-09 00:00:00,Theft,"Other, Paper",2014-03-24,,2011-09-11,2011
306,307,TRICARE Management Activity (TMA),Marine Parade,4900000,9/13/2011,Loss,Other,2014-01-23,,2011-09-13,2011
307,308,UCLA Health System,Yio Chu Kang,2761,2011-06-09 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-09-06,2011
308,309,Logan County Emergeny Ambulance Service Authority,Kent Ridge,12563,2011-01-10 00:00:00,"Theft, Loss",Laptop,2014-01-23,,2011-10-01,2011
309,310,Lawrence Memorial Hospital,Alexandra,8275,09/20/2011 - 10/28/2011,"Unauthorized Access/Disclosure, Other",Other,2014-04-23,,2011-09-20,2011
310,311,Sutter Medical Foundation,Clementi,943434,10/15/2011,Theft,Desktop Computer,2014-01-23,,2011-10-15,2011
311,312,Medcenter One,Potong Pasir,650,10/21/2011,Theft,Laptop,2014-01-23,,2011-10-21,2011
312,313,Dallas County Hospital District dba Parkland Health & Hospital System,Yishun,2464,2011-05-09 00:00:00,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-01-23,,2011-09-05,2011
313,314,University of Kentucky UK HealthCare,Kembangan,878,9/25/2011,Loss,Other Portable Electronic Device,2014-01-23,,2011-09-25,2011
314,315,"Jay C. Platt, DDS",Novena,10705,2011-06-10 00:00:00,Theft,Other,2014-03-24,,2011-10-06,2011
315,316,Rite Aid Corporation ,Serangoon,2900,2011-07-10 00:00:00,Other,Paper,2014-01-23,,2011-10-07,2011
316,317,Advanced Occupational Medicine Specialists,Boon Lay,7226,2011-12-10 00:00:00,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2011-10-12,2011
317,318,Open MRI of Chicago,Boon Lay,2000,2011-06-09 00:00:00,Improper Disposal,Paper,2014-01-23,,2011-09-06,2011
318,319,University of Nebraska Medical Center,Bukit Batok,611,11/15/2011,Theft,Paper,2014-04-23,,2011-11-15,2011
319,320,Roberts S. Smith M.D. Inc.,Eunos,17000,10/17/2011,Theft,Laptop,2014-01-23,,2011-10-17,2011
320,321,"Paul C. Brown, MD, PS",Punggol,4693,10/14/2011 - 10/17/2011,Theft,Other,2014-02-14,,2011-10-14,2011
321,322,Molina Healthcare of California,Yio Chu Kang,11081,9/23/2009,Other,Paper,2014-01-23,,2009-09-23,2009
322,323,Aegis Sciences Corporation,Bishan,2185,11/22/2011,Theft,"Laptop, Other Portable Electronic Device",2014-04-23,"OCR opened an investigation of the covered entity (CE), Aegis Science Corp., after the CE reported that a laptop computer and unencrypted external hard drive containing the electronic protected health information (ePHI) of 2,185 individuals were stolen from a workforce member's vehicle.  The ePHI included social security numbers, driver's license numbers, and other demographic information, as well as bank account information of fourteen individuals and credit card information of three individuals.  Upon discovering the breach, the CE filed a police report and hired a private investigator to recover the stolen items.  The CE also initiated plans to encrypt laptops, revise security procedures, retrain employees, and offer credit monitoring to affected individuals.  As a result of OCR's investigation, the CE completed a security risk analysis and risk management report and implemented new security policies and procedures to ensure adequate safeguards to protect ePHI.  The CE also provided media notification in the two localities with greater than 500 individuals affected.  Additionally, the CE encrypted all employee computers and removable media containing ePHI and retrained employees on the CE's confidentiality and security policies.",2011-11-22,2011
323,324,"Soundpath Health, Inc",Punggol,7581,11/22/2011,Theft,Laptop,2014-02-14,,2011-11-22,2011
324,325,Concentra Health,Yishun,870,11/30/2011,Theft,Laptop,2014-01-23,,2011-11-30,2011
325,326,Sleep HealthCenters LLC,Paya Lebar,2988,11/23/2011,Theft,Laptop,2014-03-13,,2011-11-23,2011
326,327,Smile Designs,Sembawang,1670,2011-01-12 00:00:00,Theft,"Desktop Computer, Network Server",2014-01-23,,2011-12-01,2011
327,328,PBH,Bukit Panjang,50000,11/15/2011,"Unauthorized Access/Disclosure, Other","Network Server, E-mail",2014-01-23,,2011-11-15,2011
328,329,"CardioNet, Inc",Serangoon,1300,2011-10-11 00:00:00,Theft,Laptop,2014-01-23,,2011-11-10,2011
329,330,"MDwise, Inc.",Novena,2700,2011-10-02 00:00:00,Unauthorized Access/Disclosure,Other,2014-03-24,,2011-02-10,2011
330,331,Ford Motor Company,Newton,1700,2012-03-01 00:00:00,Other,Paper,2014-03-24,,2012-01-03,2012
331,332,Foundation Medical Partners,Macpherson,771,11/19/2011 - 12/01/2011,Theft,Paper,2014-06-02,"Without permission from the covered entity (CE), an employee provided a list of patient's names to a local counseling center as the employee was leaving the CE to begin employment at the new counseling center in an attempt to coordinate care of the patients she was treating.  The list, containing the PHI of approximately 771 individuals, included names, dates of birth, addresses, phone numbers, names of the insurance carriers, and facility codes.  Following the disclosure, the CE provided breach notification to HHS, the media, and all individuals affected and sanctioned the former employee for violating its policies and procedures. The CE also changed its procedures for list management.  The CE sent a reminder to all of its health care providers regarding the handling of PHI and made plans to provide HIPAA compliance information in a quality assurance newsletter.",2011-11-19,2011
332,333,Kansas Department on Aging,Alexandra,7757,2012-11-01 00:00:00,Theft,Laptop,2014-01-23,,2012-01-11,2012
333,334,Delta Dental of California,Yio Chu Kang,11646,12/22/2011 - 12/23/2011,Other,Paper,2014-01-23,,2011-12-22,2011
334,335,Muskogee Regional Medical Center,Bukit Gombak,844,2011-05-12 00:00:00,Loss,Other,2014-01-23,,2011-12-05,2011
335,336,Department of Medical Assistance Services,Marine Parade,1444,11/02/2011 - 11/16/2011,"Unauthorized Access/Disclosure, Other",Paper,2014-01-23,,2011-11-02,2011
336,337,"Oldendorf Medical Services, PLLC",Sengkang,549,1/17/2012,Theft,Laptop,2014-06-02,"OCR opened an investigation of the covered entity (CE) after it reported two unencrypted laptops were stolen that contained the electronic protected health information (ePHI) of 549 individuals.  The ePHI included names, dates of birth, diagnostic test results, and social security numbers.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE installed security cameras and new door locks and changed the codes to the outside entrance keypad lock.  The CE also encrypted laptop computers. ",2012-01-17,2012
337,338,St.Vincent Physician Network,Novena,1423,12/01/2010-11/21/2011,"Theft, Unauthorized Access/Disclosure",Paper,2014-03-24,,2010-12-01,2010
338,339,Flex Physical Therapy,Punggol,3100,12/30/2011,Theft,Desktop Computer,2014-01-23,,2011-12-30,2011
339,340,Metro Community Provider Network,Redhill,3200,2011-05-12 00:00:00,"Hacking/IT Incident, Other",E-mail,2014-01-23,,2011-12-05,2011
340,341,University of Miami ,Sembawang,1219,11/24/2011,Theft,Other Portable Electronic Device,2014-01-23,,2011-11-24,2011
341,342,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,6678,12/15/2011,Other,Paper,2014-03-24,,2011-12-15,2011
342,343,"Triumph, LLC",Bukit Panjang,2000,12/13/2011,Theft,Laptop,2014-01-23,,2011-12-13,2011
343,344,Fairview Health Services,Chai Chee,14000,7/25/2011,Theft,Laptop,2014-01-23,,2011-07-25,2011
344,345,Loma Linda University Medical Center (LLUMC),Yio Chu Kang,1366,12/19/2011,Other,Paper,2014-01-23,,2011-12-19,2011
345,346,Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan,Newton,1700,12/29/2011,Other,Other,2014-03-24,,2011-12-29,2011
346,347,"Goshen Health System, Inc.",Novena,660,12/22/2011,Hacking/IT Incident,Other,2014-01-23,,2011-12-22,2011
347,348,Georgetown University Hospital,Tampines,1549,2011-01-11 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-11-01,2011
348,349,Motion Picture Industry Health Plans (MPI),Yio Chu Kang,703,09/23/2009 - 12/02/2011,Other,Other,2014-02-14,,2009-09-23,2009
349,350,Ochsner Health System,Kovan,2088,1/19/2012,Loss,Other Portable Electronic Device,2014-01-23,,2012-01-19,2012
350,351,Applegate Valley Family Medicine,Boon Keng,2300,12/01/2011-12/17/2011,"Theft, Unauthorized Access/Disclosure",Laptop,2014-01-23,,2011-12-01,2011
351,352,"CardioNet, Inc.",Serangoon,728,12/29/2011,Theft,Laptop,2014-01-23,,2011-12-29,2011
352,353,Presbyterian Healthcare Services,Choa Chu Kang,7000,12/29/2011,Theft,Laptop,2014-03-13,,2011-12-29,2011
353,354,"Alliant Health Plans, Inc.",Eunos,632,2012-01-01 00:00:00,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-01-01,2012
354,355,"FIRST MEDICAL CENTER, INC.",Ang Mo Kio,7706,2012-11-01 00:00:00,Theft,Laptop,2014-06-13,"An unencrypted laptop computer and external hard drive containing the electronic protected health information (ePHI) of 7,706 individuals were stolen from a staff member of the covered entity's (CE) business associate (BA).  The ePHI included names, ages, sex, social security numbers, medical services provided, diagnosis codes, and dates of service.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and all individuals affected by the breach.  As a result of OCR's investigation, the CE had its BA conduct a risk analysis, implement new security policies and procedures to ensure adequate safeguards to protect ePHI, and retrain its employees.  In addition, the CE also had its BA change its security practices to include encryption on all laptops and restrict the use of portable media devices.  OCR obtained assurances that the CE implemented the corrective action listed above and required two additional corrective actions.  OCR identified the need for the CE to complete a risk assessment and implement certain security policies and procedures.",2012-01-11,2012
355,356,Lee Miller Rehabilitation Associates,Tanglin,10480,1/15/2012,Theft,Network Server,2014-01-23,,2012-01-15,2012
356,357,"Jeremaih J. Twomey, F.A.C.P., P.A.",Yishun,2559,12/31/2011,Theft,Other,2014-01-23,,2011-12-31,2011
357,358,Anchorage Community Mental Health Services Inc.,Woodlands,2743,12/20/2011 - 01/04/2012,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2011-12-20,2011
358,359,Robley Rex VA Medical Center ,Kembangan,1182,2012-09-01 00:00:00,Other,Paper,2014-01-23,,2012-01-09,2012
359,360,Indiana Internal Medicine Consultants,Novena,20000,2012-11-02 00:00:00,Theft,Laptop,2014-06-24,"A laptop computer that contained the electronic protected health information (ePHI) of approximately 20,000 individuals was stolen from the covered entity's (CE) laboratory manager's office.  The ePHI involved in the breach included patients' names, dates of birth, clinic identification numbers, and laboratory results.  Following the breach, the CE reported the theft to the building management company.  The management company investigated the theft and determined that cleaning personnel had stolen the laptop.  The company reported that the patient information was not compromised, as the database could not be accessed without propriety software and specialized assistance. As a result of OCR's investigation, physical security was improved by housing the replacement laptop in a locked drawer in a locked office with limited staff access.  The CE also implemented a new policy prohibiting the storage of PHI on the laptop computer and updated additional policies and procedures to enhance safeguards for systems containing PHI.      ",2012-02-11,2012
360,361,Kern Medical Center ,Yio Chu Kang,1431,2/25/2012,Theft,Paper,2014-01-23,,2012-02-25,2012
361,362,"William F. DeLuca Jr., M.D.",Sengkang,577,1/16/2012,Theft,Laptop,2014-06-02,"OCR opened an investigation of the covered entity (CE) after it reported two unencrypted laptops were stolen that contained the electronic protected health information (ePHI) of 577 individuals.  The ePHI included names and pictures.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted its computers, changed the locks to a numbered key system, and installed a lock to secure portable devices in storage.  In addition, the CE started using identification numbers instead of names on patients' files.  The CE also revised its security policy and trained all staff on its policies.",2012-01-16,2012
362,363,Grupo Medico IPA -341,Ang Mo Kio,7923,2012-11-01 00:00:00,Theft,Laptop,2014-06-20,"An unencrypted laptop computer and an external hard drive containing the electronic protected health information (ePHI) of 7,923 individuals were stolen from a staff member of the CE's business associate (BA).  The ePHI included names, ages, gender, social security numbers, medical services provided, diagnosis codes, and dates of service.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  The CE also provided breach notification to all affected individuals, HHS, and the media. As a result of OCR's investigation, the CE had its BA conduct a risk analysis, implement new security policies and procedures to ensure adequate safeguards to protect ePHI, and retrain its employees. The CE also had its BA change its security practices to include encryption on all laptops and restrict the use of portable media devices.  ",2012-01-11,2012
363,364,Advanced Clinical Research Institute,Yio Chu Kang,875,1/26/2012,Theft,Paper,2014-01-23,,2012-01-26,2012
364,365,Access Medical Group -IPA 344,Ang Mo Kio,7606,2012-11-01 00:00:00,Theft,"Laptop, Other Portable Electronic Device",2014-06-13,"An unencrypted laptop computer and external hard drive containing the electronic protected health information (ePHI) of 39,609 individuals were stolen from a staff member of the covered entity's (CE) business associate (BA).  The ePHI included names, ages, sex, social security numbers, medical services provided, diagnosis codes, and dates of service.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and all affected individuals.  As a result of OCR's investigation, the CE had its BA conduct a risk analysis, implement new security policies and procedures to ensure adequate safeguards to protect ePHI, and retrain its employees.  In addition, the CE also had its BA change its security practices to include encryption on all laptops and restrict the use of portable media devices. OCR obtained assurance that the CE implemented the corrective action listed above and required one additional corrective action.  OCR identified the need for the CE to implement certain security policies, procedures and controls.",2012-01-11,2012
365,366,Georgia Health Sciences University,Eunos,513,1/18/2012,Theft,Laptop,2014-01-23,,2012-01-18,2012
366,367,"Baylor Heart and Vascular Center, LLP",Yishun,1972,1/26/2012,Theft,Other Portable Electronic Device,2014-01-23,,2012-01-26,2012
367,368,Chicago Musculoskeletal Institute/Metro Orthopedics,Boon Lay,750,12/31/2011,Other,Network Server,2014-03-24,,2011-12-31,2011
368,369,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company",Paya Lebar,3482,01/17/2012-02/02/2012,Other,Paper,2014-01-23,,2012-01-17,2012
369,370,Duke University Health System,Bukit Panjang,1370,07/01/2008 - 11/30/2011,Unauthorized Access/Disclosure,Other,2014-04-23,,2008-07-01,2008
370,371,St. Joseph's Medical Center,Yio Chu Kang,712,2012-02-02 00:00:00,Theft,Paper,2014-01-23,,2012-02-02,2012
371,372,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,3537,6/28/2011,Unauthorized Access/Disclosure,Other,2014-03-24,,2011-06-28,2011
372,373,CenterLight Healthcare,Sengkang,642,1/27/2012,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2012-01-27,2012
373,374,Lake Granbury Medical Center,Yishun,502,2/13/2012,Theft,Paper,2014-01-23,,2012-02-13,2012
374,375,County of Wayne Department of Personnel/Human Resources Benefits Administration Division,Newton,1229,3/16/2012,Unauthorized Access/Disclosure,E-mail,2014-06-10,,2012-03-16,2012
375,376,St. Elizabeth's Medical Center,Paya Lebar,6831,2012-01-02 00:00:00,Loss,Paper,2014-01-23,,2012-02-01,2012
376,377,The Neighborhood Christian Clinic,Toa Payoh,9565,2012-07-02 00:00:00,Loss,Other Portable Electronic Device,2014-01-23,,2012-02-07,2012
377,378,"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",Yio Chu Kang,1000,04/20/2012 - 04/21/2012,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2012-04-20,2012
